N,worst(secs),best(secs)
178,1.137000e-004,1.779999e-005
179,6.290001e-005,1.829999e-005
180,2.799998e-005,1.830002e-005
181,1.990001e-005,1.839999e-005
182,1.990001e-005,1.870000e-005
183,6.100000e-005,1.870000e-005
184,7.179999e-005,1.890000e-005
185,2.870001e-005,1.880000e-005
186,2.660000e-005,1.890000e-005
187,2.500002e-005,1.930000e-005
188,4.800002e-005,1.920000e-005
189,3.660002e-005,1.970000e-005
190,2.140002e-005,1.970000e-005
191,2.510002e-005,1.970000e-005
192,2.909999e-005,1.979998e-005
193,6.850003e-005,2.029998e-005
194,1.279000e-004,2.010001e-005
195,2.170002e-005,2.009998e-005
196,2.170002e-005,2.010001e-005
197,3.729999e-005,2.040001e-005
198,9.039999e-005,2.069998e-005
199,6.440000e-005,2.059998e-005
200,2.610000e-005,2.090001e-005
201,2.660003e-005,2.099999e-005
202,6.920000e-005,2.100001e-005
203,5.089998e-005,2.109999e-005
204,3.560001e-005,2.130002e-005
205,3.100000e-005,2.159999e-005
206,2.310000e-005,2.169999e-005
207,8.159998e-005,2.219999e-005
208,6.910000e-005,2.189999e-005
209,3.200001e-005,2.169999e-005
210,2.770001e-005,2.219999e-005
211,6.720002e-005,2.230000e-005
212,7.600000e-005,2.250000e-005
213,4.069999e-005,2.260000e-005
214,3.090000e-005,2.260000e-005
215,6.900000e-005,2.250000e-005
216,7.109999e-005,2.280000e-005
217,3.709999e-005,2.310000e-005
218,2.660000e-005,2.310000e-005
219,7.050001e-005,2.320000e-005
220,1.150000e-004,2.350000e-005
221,3.269999e-005,2.330000e-005
222,3.149998e-005,2.359998e-005
223,8.700002e-005,2.389998e-005
224,7.760001e-005,2.390001e-005
225,3.299999e-005,2.420001e-005
226,2.779998e-005,2.430001e-005
227,8.810000e-005,2.440001e-005
228,7.189999e-005,2.439998e-005
229,3.770003e-005,2.460001e-005
230,3.090000e-005,2.480001e-005
231,1.235000e-004,2.489999e-005
232,7.819998e-005,2.500002e-005
233,3.449997e-005,2.509999e-005
234,2.690000e-005,2.519999e-005
235,1.225000e-004,2.530002e-005
236,1.031000e-004,2.559999e-005
237,3.820000e-005,2.549999e-005
238,2.730000e-005,2.589999e-005
239,9.750001e-005,2.570002e-005
240,4.920003e-005,2.589999e-005
241,4.029999e-005,2.579999e-005
242,4.650000e-005,2.620000e-005
243,9.719998e-005,2.640000e-005
244,6.520000e-005,2.650000e-005
245,3.580001e-005,2.680000e-005
246,4.610000e-005,2.670000e-005
247,5.840001e-005,2.710000e-005
248,5.559999e-005,2.700000e-005
249,3.860000e-005,2.710000e-005
250,1.221000e-004,2.740000e-005
251,8.930001e-005,2.769998e-005
252,4.019999e-005,2.760001e-005
253,2.920002e-005,2.769998e-005
254,5.830001e-005,2.799998e-005
255,7.449999e-005,2.799998e-005
256,3.709999e-005,2.790001e-005
257,7.260000e-005,2.840001e-005
258,1.024000e-004,2.820001e-005
259,1.106000e-004,2.839998e-005
260,9.900000e-005,2.870001e-005
261,9.940000e-005,2.870001e-005
262,4.129999e-005,2.869999e-005
263,1.191000e-004,2.919999e-005
264,8.500001e-005,2.939999e-005
265,4.029999e-005,2.940002e-005
266,4.240000e-005,2.959999e-005
267,6.230001e-005,2.959999e-005
268,7.519999e-005,2.930002e-005
269,4.349998e-005,2.980002e-005
270,1.293000e-004,3.010000e-005
271,5.849998e-005,3.020000e-005
272,4.299998e-005,3.010000e-005
273,1.236000e-004,3.030003e-005
274,1.057000e-004,3.050000e-005
275,5.000000e-005,3.050000e-005
276,8.109998e-005,3.079997e-005
277,7.179999e-005,3.080000e-005
278,4.140002e-005,3.109997e-005
279,3.700002e-005,3.110000e-005
280,1.095000e-004,3.150001e-005
281,4.240000e-005,3.109997e-005
282,4.190000e-005,3.160001e-005
283,1.067000e-004,3.170001e-005
284,8.919998e-005,3.170001e-005
285,4.430002e-005,3.170001e-005
286,1.538000e-004,3.200001e-005
287,2.441000e-004,3.210001e-005
288,4.509999e-005,3.229998e-005
289,1.485000e-004,3.230001e-005
290,1.378000e-004,3.240001e-005
291,4.349998e-005,3.249999e-005
292,5.680000e-005,3.279999e-005
293,7.930002e-005,3.289999e-005
294,2.656000e-004,3.319999e-005
295,6.480000e-004,3.390000e-005
296,5.199999e-005,3.369999e-005
297,4.679998e-005,3.309999e-005
298,7.620000e-005,3.380000e-005
299,4.690001e-005,3.390000e-005
300,5.170002e-005,3.380000e-005
301,8.300002e-005,3.460000e-005
302,4.650000e-005,3.440000e-005
303,4.570000e-005,3.430000e-005
304,6.930000e-005,3.420000e-005
