N,worst(secs),best(secs)
178,9.439999e-005,5.560002e-005
179,1.152000e-004,5.590002e-005
180,7.170002e-005,5.700000e-005
181,1.262000e-004,5.780000e-005
182,7.650000e-005,5.810001e-005
183,2.181000e-004,5.879998e-005
184,7.290000e-005,5.930001e-005
185,1.027000e-004,5.979999e-005
186,7.610003e-005,6.060000e-005
187,1.324000e-004,6.130000e-005
188,1.140000e-004,6.190001e-005
189,7.464000e-004,6.249998e-005
190,2.123000e-004,6.319999e-005
191,2.222000e-004,6.409999e-005
192,7.889999e-005,6.409999e-005
193,1.867000e-004,6.490000e-005
194,7.539999e-005,6.569998e-005
195,5.203000e-004,6.640001e-005
196,1.714000e-004,6.709999e-005
197,1.843000e-004,6.720002e-005
198,1.494000e-004,6.820000e-005
199,1.449000e-004,6.910000e-005
200,1.326000e-004,6.950001e-005
201,2.112000e-004,7.039998e-005
202,8.659999e-005,7.050001e-005
203,2.302000e-004,7.130002e-005
204,1.458000e-004,7.220000e-005
205,1.383000e-004,7.270000e-005
206,2.270000e-004,7.349998e-005
207,8.900001e-005,7.430001e-005
208,1.468000e-004,7.490002e-005
209,1.525000e-004,7.549999e-005
210,1.280000e-004,7.630000e-005
211,1.926000e-004,7.690000e-005
212,1.011000e-004,7.780001e-005
213,2.311000e-004,7.850002e-005
214,9.240001e-005,7.880002e-005
215,1.930000e-004,7.920002e-005
216,1.905000e-004,8.050000e-005
217,1.642000e-004,8.130001e-005
218,1.659000e-004,8.199998e-005
219,9.900000e-005,8.250002e-005
220,2.581000e-004,8.319999e-005
221,1.541000e-004,8.420000e-005
222,1.363000e-004,8.490001e-005
223,1.808000e-004,8.540001e-005
224,9.320001e-005,8.600001e-005
225,5.488000e-004,8.689999e-005
226,3.006000e-004,8.790000e-005
227,1.215000e-004,8.840000e-005
228,1.848000e-004,8.920001e-005
229,1.700000e-004,8.969998e-005
230,1.067000e-004,9.100002e-005
231,2.150000e-004,9.160000e-005
232,2.132000e-004,9.240001e-005
233,5.044000e-004,9.309998e-005
234,4.940000e-004,9.449999e-005
235,1.929000e-004,9.439999e-005
236,3.123000e-004,9.500000e-005
237,1.873000e-004,9.609998e-005
238,1.716000e-004,9.669998e-005
239,5.251000e-004,9.759999e-005
240,2.210000e-004,9.829999e-005
241,1.987000e-004,9.900000e-005
242,2.049000e-004,9.960000e-005
243,1.842000e-004,1.007000e-004
244,1.833000e-004,1.009000e-004
245,1.904000e-004,1.024000e-004
246,3.230000e-004,1.030000e-004
247,1.846000e-004,1.034000e-004
248,1.773000e-004,1.048000e-004
249,1.714000e-004,1.058000e-004
250,1.496000e-004,1.061000e-004
251,3.201000e-004,1.072000e-004
252,2.046000e-004,1.078000e-004
253,1.724000e-004,1.090000e-004
254,4.869000e-004,1.098000e-004
255,3.777000e-004,1.109000e-004
256,2.315000e-004,1.111000e-004
257,1.887000e-004,1.121000e-004
258,1.582000e-004,1.128000e-004
259,2.532000e-004,1.139000e-004
260,2.798000e-004,1.146000e-004
261,2.615000e-004,1.155000e-004
262,2.230000e-004,1.165000e-004
263,1.888000e-004,1.170000e-004
264,2.540000e-004,1.180000e-004
265,2.044000e-004,1.185000e-004
266,1.998000e-004,1.197000e-004
267,2.475000e-004,1.206000e-004
268,2.477000e-004,1.216000e-004
269,2.278000e-004,1.220000e-004
270,2.278000e-004,1.233000e-004
271,6.513000e-004,1.244000e-004
272,2.461000e-004,1.247000e-004
273,4.206000e-004,1.258000e-004
274,2.294000e-004,1.268000e-004
275,2.993000e-004,1.276000e-004
276,2.162000e-004,1.285000e-004
277,2.045000e-004,1.295000e-004
278,2.771000e-004,1.305000e-004
279,2.944000e-004,1.310000e-004
280,2.059000e-004,1.321000e-004
281,2.356000e-004,1.326000e-004
282,2.649000e-004,1.340000e-004
283,2.838000e-004,1.348000e-004
284,2.712000e-004,1.360000e-004
285,2.234000e-004,1.368000e-004
286,2.245000e-004,1.378000e-004
287,2.146000e-004,1.385000e-004
288,6.396000e-004,1.393000e-004
289,1.899000e-004,1.406000e-004
290,2.487000e-004,1.413000e-004
291,2.729000e-004,1.426000e-004
292,2.968000e-004,1.432000e-004
293,2.291000e-004,1.440000e-004
294,2.286000e-004,1.454000e-004
295,3.404000e-004,1.461000e-004
296,2.954000e-004,1.472000e-004
297,3.212000e-004,1.477000e-004
298,2.330000e-004,1.489000e-004
299,2.487000e-004,1.499000e-004
300,3.215000e-004,1.509000e-004
301,2.487000e-004,1.521000e-004
302,3.004000e-004,1.526000e-004
303,3.883000e-004,1.539000e-004
304,2.348000e-004,1.547000e-004
305,2.911000e-004,1.558000e-004
306,2.664000e-004,1.567000e-004
307,2.798000e-004,1.580000e-004
308,3.330000e-004,1.585000e-004
309,2.670000e-004,1.600000e-004
310,2.710000e-004,1.608000e-004
311,2.595000e-004,1.617000e-004
312,2.928000e-004,1.629000e-004
313,2.539000e-004,1.636000e-004
314,4.206000e-004,1.648000e-004
315,2.444000e-004,1.662000e-004
316,6.425000e-004,1.668000e-004
317,3.073000e-004,1.679000e-004
318,8.227000e-004,1.690000e-004
319,2.656000e-004,1.696000e-004
320,2.657000e-004,1.709000e-004
321,2.560000e-004,1.719000e-004
322,3.234000e-004,1.731000e-004
323,4.197000e-004,1.743000e-004
324,5.752000e-004,1.751000e-004
325,2.514000e-004,1.763000e-004
326,3.203000e-004,1.772000e-004
327,2.745700e-003,1.783000e-004
328,3.087000e-004,1.794000e-004
329,2.782000e-004,1.797000e-004
330,2.897000e-004,1.814000e-004
331,3.323000e-004,1.823000e-004
332,3.327000e-004,1.834000e-004
333,2.718000e-004,1.847000e-004
334,3.231000e-004,1.857000e-004
335,1.441200e-003,1.869000e-004
336,2.925000e-004,1.877000e-004
337,3.073000e-004,1.890000e-004
338,2.839000e-004,1.901000e-004
339,2.799000e-004,1.907000e-004
340,3.994000e-004,1.922000e-004
341,2.888000e-004,1.935000e-004
342,4.096000e-004,1.948000e-004
343,3.103000e-004,1.954000e-004
344,4.185000e-004,1.965000e-004
345,3.431000e-004,1.977000e-004
346,3.350000e-004,1.989000e-004
347,2.942000e-004,1.999000e-004
348,5.071000e-004,2.014000e-004
349,3.229000e-004,2.020000e-004
350,3.302000e-004,2.034000e-004
351,3.059000e-004,2.047000e-004
352,4.036000e-004,2.052000e-004
353,4.016000e-004,2.059000e-004
354,4.181000e-004,2.076000e-004
355,3.430000e-004,2.087000e-004
356,3.853000e-004,2.102000e-004
357,3.309000e-004,2.113000e-004
358,3.891000e-004,2.122000e-004
359,4.597000e-004,2.130000e-004
360,3.465000e-004,2.144000e-004
361,3.075000e-004,2.156000e-004
362,3.780000e-004,2.170000e-004
363,3.324000e-004,2.178000e-004
364,3.773000e-004,2.188000e-004
365,3.246000e-004,2.203000e-004
366,4.338000e-004,2.215000e-004
367,3.939000e-004,2.228000e-004
368,5.736000e-004,2.240000e-004
369,1.173500e-003,2.250000e-004
370,4.949000e-004,2.265000e-004
371,5.003000e-004,2.274000e-004
372,8.167000e-004,2.282000e-004
373,7.677000e-004,2.302000e-004
374,5.695000e-004,2.310000e-004
375,3.346000e-004,2.329000e-004
376,8.356000e-004,2.336000e-004
377,3.887000e-004,2.347000e-004
378,5.427000e-004,2.358000e-004
379,3.516000e-004,2.369000e-004
380,4.524000e-004,2.385000e-004
381,3.765000e-004,2.397000e-004
382,4.157000e-004,2.401000e-004
383,3.958000e-004,2.416000e-004
384,5.744000e-004,2.426000e-004
385,3.497000e-004,2.442000e-004
386,4.470000e-004,2.454000e-004
387,4.037000e-004,2.469000e-004
388,7.528000e-004,2.478000e-004
389,4.438000e-004,2.494000e-004
390,3.765000e-004,2.505000e-004
391,4.888000e-004,2.519000e-004
392,3.669000e-004,2.531000e-004
393,4.177000e-004,2.541000e-004
