N,time(tics),time(secs)
178,3.458000e-004,9.299998e-005
179,3.418000e-004,9.510000e-005
180,1.280000e-004,9.530000e-005
181,1.935000e-004,9.359999e-005
182,2.473000e-004,9.620000e-005
183,3.199000e-004,1.002000e-004
184,3.697000e-004,1.035000e-004
185,3.213000e-004,1.006000e-004
186,2.297000e-004,1.012000e-004
187,1.552000e-004,1.028000e-004
188,2.613000e-004,1.049000e-004
189,2.688000e-004,1.024000e-004
190,2.344000e-004,1.034000e-004
191,2.791000e-004,1.061000e-004
192,2.132000e-004,1.063000e-004
193,2.604000e-004,1.062000e-004
194,2.368000e-004,1.090000e-004
195,6.990000e-004,1.095000e-004
196,4.902000e-004,1.138000e-004
197,1.699500e-003,1.162000e-004
198,5.194000e-004,1.144000e-004
199,1.548900e-003,1.161000e-004
200,4.274000e-004,1.157000e-004
201,6.449000e-004,1.205000e-004
202,1.025300e-003,1.193000e-004
203,4.845000e-004,1.225000e-004
204,1.638000e-003,1.220000e-004
205,1.070100e-003,1.281000e-004
206,9.709000e-004,1.232000e-004
207,1.224500e-003,1.223000e-004
208,1.028300e-003,1.240000e-004
209,5.145000e-004,1.268000e-004
210,4.376600e-003,1.288000e-004
211,4.412000e-004,1.251000e-004
212,1.537400e-003,1.352000e-004
213,4.249000e-004,1.323000e-004
214,6.840000e-003,1.399000e-004
215,8.060000e-004,1.281000e-004
216,5.679000e-004,1.358000e-004
217,1.605100e-003,1.359000e-004
218,6.969000e-004,1.370000e-004
219,7.156000e-004,1.354000e-004
220,3.201000e-004,1.378000e-004
221,2.578000e-004,1.397000e-004
222,4.830000e-004,1.401000e-004
223,2.812000e-004,1.404000e-004
224,4.098000e-004,1.407000e-004
225,3.596000e-004,1.438000e-004
226,7.183000e-004,1.461000e-004
227,3.185000e-004,1.462000e-004
228,4.009000e-004,1.480000e-004
229,3.111000e-004,1.484000e-004
230,3.002000e-004,1.525000e-004
231,2.715000e-004,1.533000e-004
232,3.609000e-004,1.490000e-004
233,4.775000e-004,1.529000e-004
234,4.108000e-004,1.550000e-004
235,3.806000e-004,1.583000e-004
236,4.027000e-004,1.544000e-004
237,4.446000e-004,1.566000e-004
238,3.376000e-004,1.617000e-004
239,3.364000e-004,1.610000e-004
240,3.070000e-004,1.614000e-004
241,4.221000e-004,1.620000e-004
242,4.141000e-004,1.624000e-004
243,4.950000e-004,1.678000e-004
244,3.979000e-004,1.648000e-004
245,3.819000e-004,1.686000e-004
246,3.924000e-004,1.713000e-004
247,3.476000e-004,1.711000e-004
248,4.034000e-004,1.733000e-004
