N,worst(secs),best(secs)
178,7.750001e-005,1.920000e-005
179,2.490001e-005,1.699998e-005
180,2.380001e-005,1.660001e-005
181,9.510000e-005,1.700001e-005
182,4.690001e-005,1.669998e-005
183,9.410002e-005,1.860000e-005
184,2.830001e-005,1.759999e-005
185,2.449998e-005,1.739999e-005
186,2.920002e-005,1.809999e-005
187,8.780000e-005,1.890000e-005
188,2.589999e-005,2.059998e-005
189,2.660000e-005,1.790002e-005
190,6.320002e-005,1.809999e-005
191,4.580000e-005,1.850000e-005
192,3.339999e-005,1.850000e-005
193,8.090000e-005,1.850002e-005
194,6.460000e-005,2.149999e-005
195,4.730001e-005,1.900000e-005
196,2.970002e-005,1.860000e-005
197,4.400001e-005,1.880000e-005
198,3.629999e-005,1.910000e-005
199,6.269998e-005,1.960000e-005
200,5.550002e-005,1.950000e-005
201,2.949999e-005,2.330000e-005
202,2.949999e-005,1.970000e-005
203,3.540001e-005,2.000001e-005
204,4.009999e-005,2.009998e-005
205,1.225000e-004,1.970000e-005
206,4.649998e-005,2.330000e-005
207,3.929998e-005,2.379998e-005
208,6.540000e-005,2.059998e-005
209,5.069998e-005,2.040001e-005
210,3.199998e-005,2.060001e-005
211,3.619998e-005,2.050001e-005
212,1.402000e-004,2.100001e-005
213,6.860000e-005,2.110002e-005
214,3.110000e-005,2.480001e-005
215,3.870000e-005,2.530002e-005
216,8.929998e-005,2.149999e-005
217,6.900000e-005,2.469998e-005
218,3.230001e-005,2.189999e-005
219,7.129999e-005,2.189999e-005
220,4.550000e-005,2.260000e-005
221,3.359999e-005,2.209999e-005
222,3.070000e-005,2.220002e-005
223,6.710002e-005,2.250000e-005
224,8.249999e-005,2.260000e-005
225,6.100000e-005,2.209999e-005
226,3.069997e-005,2.250000e-005
227,6.990001e-005,2.240000e-005
228,9.900000e-005,2.300000e-005
229,3.159998e-005,2.680000e-005
230,6.850000e-005,2.309997e-005
231,1.427000e-004,2.290000e-005
232,3.520001e-005,2.310000e-005
233,4.480002e-005,2.310000e-005
234,9.140000e-005,2.340000e-005
235,5.920001e-005,2.700000e-005
236,4.560000e-005,2.750001e-005
237,3.300002e-005,2.750001e-005
238,9.950000e-005,2.490001e-005
239,5.859998e-005,2.759998e-005
240,5.040001e-005,2.799998e-005
241,5.189999e-005,2.620000e-005
242,5.910001e-005,2.470001e-005
243,4.190000e-005,2.909999e-005
244,3.269999e-005,2.490001e-005
245,1.621000e-004,2.860001e-005
246,6.690001e-005,2.620000e-005
247,3.680002e-005,2.549999e-005
248,3.600001e-005,2.559999e-005
249,5.579999e-005,2.599999e-005
250,6.749999e-005,2.980002e-005
251,3.699999e-005,2.559999e-005
252,7.400001e-005,2.660000e-005
253,5.020000e-005,2.600002e-005
254,3.860000e-005,2.970002e-005
255,1.405000e-004,2.740000e-005
256,9.570000e-005,2.670000e-005
257,3.649999e-005,3.089997e-005
258,7.590000e-005,3.040000e-005
259,9.019999e-005,2.700000e-005
260,3.770000e-005,2.690000e-005
261,3.900001e-005,3.110000e-005
262,7.189999e-005,2.950002e-005
263,5.569999e-005,2.790001e-005
264,1.003000e-004,2.859998e-005
265,1.260000e-004,2.820001e-005
266,8.420000e-005,2.800001e-005
267,1.252000e-004,3.160001e-005
268,9.279998e-005,2.790001e-005
269,5.389997e-005,3.259999e-005
270,1.276000e-004,3.040003e-005
271,8.460000e-005,2.839998e-005
272,4.960000e-005,2.869999e-005
273,5.139998e-005,2.920002e-005
274,7.270000e-005,2.869999e-005
275,3.629999e-005,2.929999e-005
276,5.010000e-005,2.960002e-005
277,6.270001e-005,2.929999e-005
278,5.470001e-005,2.959999e-005
279,4.540000e-005,2.959999e-005
280,5.900001e-005,2.919999e-005
281,5.390000e-005,3.040000e-005
282,5.470001e-005,3.529998e-005
283,8.350000e-005,3.020000e-005
284,8.450000e-005,3.020000e-005
285,5.000000e-005,3.620001e-005
286,8.080000e-005,3.329999e-005
287,8.580001e-005,3.119998e-005
288,5.269999e-005,3.130001e-005
289,1.178000e-004,3.150001e-005
290,1.480000e-004,3.200001e-005
291,6.299998e-005,3.749999e-005
292,7.129999e-005,3.440000e-005
293,4.540003e-005,3.609998e-005
294,4.390001e-005,3.130001e-005
295,9.719998e-005,3.120000e-005
296,9.409999e-005,3.160001e-005
297,4.449999e-005,3.209998e-005
298,1.470000e-004,3.669999e-005
299,7.370001e-005,3.750002e-005
300,1.572000e-004,3.639999e-005
301,6.140000e-005,3.259999e-005
302,8.279999e-005,3.660002e-005
303,1.411000e-004,3.280002e-005
304,1.058000e-004,3.289999e-005
305,6.600001e-005,3.300002e-005
306,1.398000e-004,3.530001e-005
307,2.805000e-004,3.900001e-005
308,1.899000e-004,3.339999e-005
309,6.140000e-005,3.349999e-005
310,5.710000e-005,3.890001e-005
311,1.035000e-004,3.569998e-005
312,7.420001e-005,3.760000e-005
313,5.579999e-005,3.319999e-005
314,1.523000e-004,3.339999e-005
315,1.278000e-004,3.900001e-005
316,1.911000e-004,4.029999e-005
317,9.670001e-005,3.530001e-005
318,1.459000e-004,3.530001e-005
319,1.324000e-004,3.549998e-005
320,9.770002e-005,3.580001e-005
321,7.260000e-005,3.530001e-005
322,1.015000e-004,3.549998e-005
323,8.659999e-005,3.550001e-005
324,1.046000e-004,3.609998e-005
325,1.232000e-004,3.629999e-005
326,6.359999e-005,3.580001e-005
327,4.700001e-005,3.600001e-005
328,1.223000e-004,3.610001e-005
329,6.200001e-005,3.650002e-005
330,1.322000e-004,3.659999e-005
331,7.670000e-005,3.639999e-005
332,5.260002e-005,3.650002e-005
333,1.497000e-004,3.729999e-005
334,6.900000e-005,3.670002e-005
335,5.969999e-005,3.840000e-005
336,1.311000e-004,3.739999e-005
337,5.750000e-005,4.610000e-005
338,1.352000e-004,3.890001e-005
339,6.290001e-005,4.629997e-005
340,1.455000e-004,3.790000e-005
341,7.970000e-005,3.800000e-005
342,6.560000e-005,3.880000e-005
343,1.013000e-004,3.960001e-005
344,5.430001e-005,3.830000e-005
345,5.809998e-005,3.920001e-005
346,1.024000e-004,4.039999e-005
347,5.330000e-005,3.969998e-005
348,2.821000e-004,3.850000e-005
349,1.407000e-004,3.869997e-005
350,5.720000e-005,4.900002e-005
351,1.338000e-004,3.980001e-005
352,6.890000e-005,4.899999e-005
353,1.351000e-004,3.939998e-005
354,8.790000e-005,3.980001e-005
355,2.991000e-004,4.660001e-005
356,7.900002e-005,4.190000e-005
