N,worst(secs),best(secs)
178,4.409999e-005,1.180009e-005
179,5.419995e-005,1.179986e-005
180,1.639989e-005,1.180009e-005
181,1.519988e-005,1.179986e-005
182,1.479988e-005,1.200009e-005
183,1.620012e-005,1.219986e-005
184,4.620012e-005,1.189997e-005
185,7.950002e-005,1.189997e-005
186,1.520012e-005,1.249998e-005
187,1.699990e-005,1.259986e-005
188,1.630001e-005,1.229998e-005
189,1.800014e-005,1.279986e-005
190,4.639989e-005,1.279986e-005
191,7.010018e-005,1.309998e-005
192,1.570000e-005,1.289998e-005
193,1.790002e-005,1.309998e-005
194,3.090012e-005,1.319987e-005
195,1.680013e-005,1.299987e-005
196,1.490000e-005,1.319987e-005
197,4.389999e-005,1.319987e-005
198,1.979992e-005,1.340010e-005
199,1.830002e-005,1.349999e-005
200,1.700013e-005,1.329998e-005
201,2.000015e-005,1.379987e-005
202,2.010004e-005,1.379987e-005
203,1.739990e-005,1.389999e-005
204,3.639981e-005,1.409999e-005
205,3.609993e-005,1.409999e-005
206,2.039992e-005,1.400011e-005
207,3.060000e-005,1.419988e-005
208,1.939991e-005,1.420011e-005
209,1.700013e-005,1.449999e-005
210,1.021998e-004,1.470000e-005
211,3.149989e-005,1.459988e-005
212,2.099993e-005,1.470000e-005
213,3.220001e-005,1.459988e-005
214,2.099993e-005,1.490000e-005
215,1.999992e-005,1.499988e-005
216,1.770002e-005,1.490000e-005
217,6.160000e-005,1.520012e-005
218,3.989995e-005,1.519988e-005
219,8.619996e-005,1.519988e-005
220,2.339995e-005,1.539988e-005
221,2.140016e-005,1.530000e-005
222,6.069988e-005,1.590000e-005
223,3.739982e-005,1.559989e-005
224,2.089981e-005,1.570000e-005
225,2.130005e-005,1.579989e-005
226,2.050004e-005,1.600012e-005
227,1.007000e-004,1.600012e-005
228,2.899999e-005,1.600012e-005
229,2.270006e-005,1.610001e-005
230,2.050004e-005,1.630001e-005
231,2.170005e-005,1.610001e-005
232,2.219994e-005,1.630001e-005
233,4.950003e-005,1.649978e-005
234,4.580012e-005,1.680013e-005
235,2.050004e-005,1.659989e-005
236,2.130005e-005,1.690001e-005
237,2.299994e-005,1.680013e-005
238,2.190005e-005,1.689978e-005
239,1.033000e-004,1.690001e-005
240,3.929995e-005,1.730002e-005
241,2.319994e-005,1.700013e-005
242,2.439995e-005,1.739990e-005
243,2.410007e-005,1.750002e-005
244,2.439995e-005,1.730002e-005
245,5.299994e-005,1.750002e-005
246,5.719997e-005,1.790002e-005
247,2.429984e-005,1.770002e-005
248,2.259994e-005,1.770002e-005
249,2.360018e-005,1.779990e-005
250,2.379995e-005,1.790002e-005
251,5.359994e-005,1.800014e-005
252,3.580004e-005,1.829979e-005
253,2.470007e-005,1.800014e-005
254,2.389983e-005,1.849979e-005
255,3.640004e-005,1.850002e-005
256,3.929995e-005,1.850002e-005
257,4.309998e-005,1.890003e-005
258,2.370006e-005,1.860014e-005
259,2.409983e-005,1.880014e-005
260,2.459995e-005,1.889979e-005
261,2.560019e-005,1.879991e-005
262,1.026001e-004,1.939991e-005
263,3.480003e-005,1.890003e-005
264,3.310014e-005,1.910003e-005
265,2.379995e-005,1.920015e-005
266,2.529984e-005,1.950003e-005
267,4.479988e-005,1.959992e-005
268,5.359994e-005,1.990004e-005
269,2.529984e-005,1.950003e-005
270,2.419995e-005,1.990004e-005
271,2.570008e-005,1.989980e-005
272,5.579996e-005,2.030004e-005
273,3.909995e-005,2.040016e-005
274,2.570008e-005,2.020015e-005
275,2.869987e-005,2.049981e-005
276,5.170004e-005,2.049981e-005
277,3.830018e-005,2.039992e-005
278,3.959984e-005,2.039992e-005
279,2.689986e-005,2.009980e-005
280,2.679997e-005,2.090004e-005
281,3.760005e-005,2.080016e-005
282,1.027999e-004,2.090004e-005
283,4.530000e-005,2.100016e-005
284,2.599997e-005,2.099993e-005
285,2.779998e-005,2.119993e-005
286,2.839998e-005,2.150005e-005
287,2.810010e-005,2.150005e-005
288,5.919999e-005,2.139993e-005
289,2.790010e-005,2.149981e-005
290,2.790010e-005,2.170005e-005
291,3.529992e-005,2.139993e-005
292,6.149989e-005,2.190005e-005
293,5.039992e-005,2.200017e-005
294,2.719997e-005,2.210005e-005
295,3.060000e-005,2.219994e-005
296,2.759998e-005,2.219994e-005
297,1.174002e-004,2.190005e-005
298,2.809986e-005,2.230005e-005
299,2.849987e-005,2.230005e-005
300,3.720005e-005,2.239994e-005
301,4.730001e-005,2.269982e-005
302,1.137001e-004,2.259994e-005
303,3.769994e-005,2.279994e-005
304,2.779998e-005,2.299994e-005
305,4.760013e-005,2.290006e-005
306,2.879999e-005,2.329983e-005
307,5.629985e-005,2.330006e-005
308,4.950003e-005,2.319994e-005
309,3.500003e-005,2.319994e-005
310,3.360002e-005,2.339995e-005
311,5.470007e-005,2.350006e-005
312,4.909979e-005,2.370006e-005
313,3.369991e-005,2.399995e-005
314,3.149989e-005,2.349983e-005
315,3.049988e-005,2.410007e-005
316,1.168000e-004,2.430007e-005
317,3.809994e-005,2.419995e-005
318,3.250013e-005,2.379995e-005
319,3.160001e-005,2.450007e-005
320,7.260009e-005,2.450007e-005
321,6.280001e-005,2.470007e-005
322,3.809994e-005,2.470007e-005
323,3.140001e-005,2.489984e-005
324,3.170012e-005,2.479996e-005
325,7.850002e-005,2.479996e-005
326,3.220001e-005,2.490007e-005
327,3.289990e-005,2.480019e-005
328,4.870002e-005,2.530008e-005
329,1.123000e-004,2.539996e-005
330,1.176000e-004,2.539996e-005
