N,worst(secs),best(secs)
178,9.640004e-005,6.609992e-005
179,1.382001e-004,6.560003e-005
180,8.809986e-005,6.780005e-005
181,4.695000e-004,7.029995e-005
182,1.278999e-004,7.109996e-005
183,1.558000e-004,7.090019e-005
184,1.514000e-004,6.770017e-005
185,1.289002e-004,7.020007e-005
186,1.761999e-004,7.180008e-005
187,9.149988e-005,7.289997e-005
188,1.963000e-004,7.429998e-005
189,1.323002e-004,7.459987e-005
190,1.377000e-004,7.420010e-005
191,1.866999e-004,7.549999e-005
192,1.082001e-004,7.520011e-005
193,1.751999e-004,7.560011e-005
194,1.188999e-004,7.739989e-005
195,1.871001e-004,7.890002e-005
196,1.883002e-004,7.910002e-005
197,1.202999e-004,7.920014e-005
198,1.750002e-004,8.029980e-005
199,1.237001e-004,8.190004e-005
200,1.716001e-004,8.280016e-005
201,1.747000e-004,8.329982e-005
202,1.405999e-004,8.250005e-005
203,1.763999e-004,8.590007e-005
204,1.434998e-004,9.920006e-005
205,1.464000e-004,8.539995e-005
206,1.860000e-004,8.730008e-005
207,1.071000e-004,8.690008e-005
208,1.876000e-004,8.799997e-005
209,1.858999e-004,9.030011e-005
210,9.900006e-005,8.910010e-005
211,2.586001e-004,9.229989e-005
212,1.695000e-004,9.229989e-005
213,1.294001e-004,9.200000e-005
214,1.787001e-004,9.300001e-005
215,3.372999e-004,9.510014e-005
216,3.448999e-004,9.309989e-005
217,1.884000e-004,9.660004e-005
218,1.983000e-004,9.449990e-005
219,2.111001e-004,9.869994e-005
220,1.651000e-004,9.909994e-005
221,1.832999e-004,9.909994e-005
222,1.780000e-004,9.980006e-005
223,1.757001e-004,1.004001e-004
224,1.734998e-004,1.019998e-004
225,2.171001e-004,1.031999e-004
226,2.543000e-004,1.027000e-004
227,2.087001e-004,1.038001e-004
228,3.514001e-004,1.039000e-004
229,2.092000e-004,1.069002e-004
230,2.490000e-004,1.054001e-004
231,2.975999e-004,1.081999e-004
232,2.021999e-004,1.092001e-004
233,4.021002e-004,1.096001e-004
234,2.476000e-004,1.113000e-004
235,2.598001e-004,1.112001e-004
236,2.510000e-004,1.121000e-004
237,2.485001e-004,1.140002e-004
238,1.888000e-004,1.141999e-004
239,2.279000e-004,1.129000e-004
240,2.164999e-004,1.138002e-004
241,2.293999e-004,1.167001e-004
242,4.821999e-004,1.169001e-004
243,2.323000e-004,1.181001e-004
244,2.301000e-004,1.198000e-004
245,2.210999e-004,1.209001e-004
246,2.480000e-004,1.214999e-004
247,2.338002e-004,1.213001e-004
248,2.366998e-004,1.216000e-004
249,2.307000e-004,1.237001e-004
250,2.377999e-004,1.250000e-004
251,2.420999e-004,1.236000e-004
252,3.098000e-004,1.261998e-004
253,3.797000e-004,1.266999e-004
254,5.861998e-004,1.308999e-004
255,6.476000e-004,1.276000e-004
256,2.307000e-004,1.282999e-004
257,2.382998e-004,1.296001e-004
258,2.289999e-004,1.328001e-004
259,2.309000e-004,1.347002e-004
260,2.658002e-004,1.341000e-004
261,2.512001e-004,1.335000e-004
262,2.455001e-004,1.355000e-004
263,2.282001e-004,1.357000e-004
264,7.336000e-004,1.375000e-004
265,2.748999e-004,1.384001e-004
266,2.939999e-004,1.381999e-004
267,2.806999e-004,1.395999e-004
268,2.401001e-004,1.404998e-004
269,2.535002e-004,1.421999e-004
270,2.926001e-004,1.421999e-004
271,2.591000e-004,1.451999e-004
272,2.779001e-004,1.443001e-004
273,2.414999e-004,1.484000e-004
274,3.001001e-004,1.453001e-004
275,2.575000e-004,1.485001e-004
276,2.600001e-004,1.496999e-004
277,5.807001e-004,1.530000e-004
278,4.328000e-004,1.540000e-004
279,3.803999e-004,1.520002e-004
280,3.517000e-004,1.544999e-004
281,3.221000e-004,1.534999e-004
282,2.720999e-004,1.572000e-004
283,3.033001e-004,1.572999e-004
284,2.696002e-004,1.550999e-004
285,2.732999e-004,1.563001e-004
286,2.923000e-004,1.568000e-004
287,3.042999e-004,1.581998e-004
288,3.225999e-004,1.634001e-004
289,2.759001e-004,1.617002e-004
290,2.984002e-004,1.630001e-004
291,2.832001e-004,1.617998e-004
292,2.857000e-004,1.645000e-004
293,3.306000e-004,1.624001e-004
294,3.144001e-004,1.693000e-004
295,2.852001e-004,1.681999e-004
296,2.951999e-004,1.697000e-004
297,2.752000e-004,1.698001e-004
298,2.933999e-004,1.729999e-004
299,3.102000e-004,1.745999e-004
300,4.016000e-004,1.753001e-004
301,3.329001e-004,1.753001e-004
302,3.116000e-004,1.757001e-004
303,3.077998e-004,1.726002e-004
304,3.101001e-004,1.798000e-004
305,3.114999e-004,1.786000e-004
306,3.557999e-004,1.815001e-004
307,3.511000e-004,1.819001e-004
308,3.330000e-004,1.822999e-004
309,3.842001e-004,1.824000e-004
310,7.789000e-004,1.825001e-004
311,4.900999e-004,1.954001e-004
312,9.198000e-004,1.897998e-004
313,5.876001e-004,1.912001e-004
314,8.861001e-004,1.930001e-004
315,5.862999e-004,1.939998e-004
316,7.835000e-004,1.931000e-004
317,8.810000e-004,1.939998e-004
318,6.247999e-004,1.937998e-004
319,1.586400e-003,2.008001e-004
320,3.806300e-003,1.951999e-004
321,4.982001e-004,1.979999e-004
322,4.068001e-004,1.977000e-004
323,4.998001e-004,2.019000e-004
324,3.706000e-004,1.986001e-004
325,4.731999e-004,2.025000e-004
326,4.195999e-004,2.017000e-004
327,3.388000e-004,2.033000e-004
328,3.362000e-004,2.064002e-004
329,5.798999e-004,2.082998e-004
330,4.086001e-004,2.076998e-004
331,3.738001e-004,2.110000e-004
332,3.372000e-004,2.123001e-004
333,4.304000e-004,2.134000e-004
334,3.986000e-004,2.151001e-004
335,3.608000e-004,2.131001e-004
336,3.752001e-004,2.172000e-004
337,3.575000e-004,2.174999e-004
338,3.765000e-004,2.170999e-004
339,4.258000e-004,2.184000e-004
340,6.056000e-004,2.202999e-004
341,4.618999e-004,2.247000e-004
342,3.998000e-004,2.235000e-004
343,4.079000e-004,2.243000e-004
344,4.649998e-004,2.253999e-004
345,3.509999e-004,2.267000e-004
346,4.110001e-004,2.244001e-004
347,4.047998e-004,2.247000e-004
348,3.910000e-004,2.227998e-004
349,4.244000e-004,2.318001e-004
350,4.066001e-004,2.345000e-004
351,4.267001e-004,2.363999e-004
352,4.090001e-004,2.340002e-004
353,4.578000e-004,2.351999e-004
354,6.561000e-004,2.382002e-004
355,7.173000e-004,2.365999e-004
356,4.043998e-004,2.401001e-004
357,4.480002e-004,2.403001e-004
358,4.473000e-004,2.389001e-004
359,4.165999e-004,2.461001e-004
360,4.934000e-004,2.456999e-004
